英雄名称,图片地址,详情地址
橘右京,https://game.gtimg.cn/images/yxzj/img201606/heroimg/163/163.jpg,https://pvp.qq.com/web201605/herodetail/163.shtml
娜可露露,https://game.gtimg.cn/images/yxzj/img201606/heroimg/162/162.jpg,https://pvp.qq.com/web201605/herodetail/162.shtml
不知火舞,https://game.gtimg.cn/images/yxzj/img201606/heroimg/157/157.jpg,https://pvp.qq.com/web201605/herodetail/157.shtml
张良,https://game.gtimg.cn/images/yxzj/img201606/heroimg/156/156.jpg,https://pvp.qq.com/web201605/herodetail/156.shtml
花木兰,https://game.gtimg.cn/images/yxzj/img201606/heroimg/154/154.jpg,https://pvp.qq.com/web201605/herodetail/154.shtml
兰陵王,https://game.gtimg.cn/images/yxzj/img201606/heroimg/153/153.jpg,https://pvp.qq.com/web201605/herodetail/153.shtml
王昭君,https://game.gtimg.cn/images/yxzj/img201606/heroimg/152/152.jpg,https://pvp.qq.com/web201605/herodetail/152.shtml
韩信,https://game.gtimg.cn/images/yxzj/img201606/heroimg/150/150.jpg,https://pvp.qq.com/web201605/herodetail/150.shtml
刘邦,https://game.gtimg.cn/images/yxzj/img201606/heroimg/149/149.jpg,https://pvp.qq.com/web201605/herodetail/149.shtml
姜子牙,https://game.gtimg.cn/images/yxzj/img201606/heroimg/148/148.jpg,https://pvp.qq.com/web201605/herodetail/148.shtml
露娜,https://game.gtimg.cn/images/yxzj/img201606/heroimg/146/146.jpg,https://pvp.qq.com/web201605/herodetail/146.shtml
程咬金,https://game.gtimg.cn/images/yxzj/img201606/heroimg/144/144.jpg,https://pvp.qq.com/web201605/herodetail/144.shtml
安琪拉,https://game.gtimg.cn/images/yxzj/img201606/heroimg/142/142.jpg,https://pvp.qq.com/web201605/herodetail/142.shtml
貂蝉,https://game.gtimg.cn/images/yxzj/img201606/heroimg/141/141.jpg,https://pvp.qq.com/web201605/herodetail/141.shtml
关羽,https://game.gtimg.cn/images/yxzj/img201606/heroimg/140/140.jpg,https://pvp.qq.com/web201605/herodetail/140.shtml
老夫子,https://game.gtimg.cn/images/yxzj/img201606/heroimg/139/139.jpg,https://pvp.qq.com/web201605/herodetail/139.shtml
武则天,https://game.gtimg.cn/images/yxzj/img201606/heroimg/136/136.jpg,https://pvp.qq.com/web201605/herodetail/136.shtml
项羽,https://game.gtimg.cn/images/yxzj/img201606/heroimg/135/135.jpg,https://pvp.qq.com/web201605/herodetail/135.shtml
达摩,https://game.gtimg.cn/images/yxzj/img201606/heroimg/134/134.jpg,https://pvp.qq.com/web201605/herodetail/134.shtml
狄仁杰,https://game.gtimg.cn/images/yxzj/img201606/heroimg/133/133.jpg,https://pvp.qq.com/web201605/herodetail/133.shtml
马可波罗,https://game.gtimg.cn/images/yxzj/img201606/heroimg/132/132.jpg,https://pvp.qq.com/web201605/herodetail/132.shtml
李白,https://game.gtimg.cn/images/yxzj/img201606/heroimg/131/131.jpg,https://pvp.qq.com/web201605/herodetail/131.shtml
宫本武藏,https://game.gtimg.cn/images/yxzj/img201606/heroimg/130/130.jpg,https://pvp.qq.com/web201605/herodetail/130.shtml
典韦,https://game.gtimg.cn/images/yxzj/img201606/heroimg/129/129.jpg,https://pvp.qq.com/web201605/herodetail/129.shtml
曹操,https://game.gtimg.cn/images/yxzj/img201606/heroimg/128/128.jpg,https://pvp.qq.com/web201605/herodetail/128.shtml
甄姬,https://game.gtimg.cn/images/yxzj/img201606/heroimg/127/127.jpg,https://pvp.qq.com/web201605/herodetail/127.shtml
夏侯惇,https://game.gtimg.cn/images/yxzj/img201606/heroimg/126/126.jpg,https://pvp.qq.com/web201605/herodetail/126.shtml
周瑜,https://game.gtimg.cn/images/yxzj/img201606/heroimg/124/124.jpg,https://pvp.qq.com/web201605/herodetail/124.shtml
吕布,https://game.gtimg.cn/images/yxzj/img201606/heroimg/123/123.jpg,https://pvp.qq.com/web201605/herodetail/123.shtml
芈月,https://game.gtimg.cn/images/yxzj/img201606/heroimg/121/121.jpg,https://pvp.qq.com/web201605/herodetail/121.shtml
